Company ID,Type,Rule ID,Generated Text,Confidence Score (%)
BAJAJHLDNG,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
BAJAJHLDNG,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
BAJAJHLDNG,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,67.9
BAJAJHLDNG,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,70.4
BAJAJHLDNG,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,78.5
BAJAJHLDNG,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,100.0
BAJAJHLDNG,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
BAJFINANCE,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,67.1
BAJFINANCE,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,78.7
BAJFINANCE,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
BAJFINANCE,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,74.0
BAJFINANCE,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
BAJFINANCE,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,85.1
BAJFINANCE,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,67.5
BAJFINANCE,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,100.0
BAJFINANCE,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
BANKBARODA,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,65.0
BANKBARODA,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
BANKBARODA,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,100.0
BANKBARODA,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,100.0
BANKBARODA,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,79.3
BANKBARODA,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,100.0
BANKBARODA,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,71.0
BANKBARODA,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
BEL,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
BEL,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,70.0
BEL,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
BEL,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,100.0
BEL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,68.1
BEL,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
BHARTIARTL,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
BHARTIARTL,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,87.5
BHARTIARTL,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,81.0
BHARTIARTL,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,100.0
BHARTIARTL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,97.8
BHARTIARTL,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,73.7
BHARTIARTL,Con,CON_1,Company carries high financial leverage with a Debt-to-Equity ratio exceeding 2.0.,68.8
BHARTIARTL,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",61.0
BHEL,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,68.9
BHEL,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,80.2
BHEL,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",99.2
BHEL,Con,CON_12,Company has delivered sluggish 5-year revenue growth below 5% CAGR.,100.0
BHEL,Pro,PRO_FALLBACK,Company maintains positive operating profitability and established operational presence.,65.0
BOSCHLTD,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
BOSCHLTD,Pro,PRO_3,Company is virtually debt-free with a Debt-to-Equity ratio of 0 in the latest year.,95.0
BOSCHLTD,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
BOSCHLTD,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,72.0
BOSCHLTD,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,81.3
BOSCHLTD,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,63.8
BOSCHLTD,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,83.9
BOSCHLTD,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
BPCL,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,97.3
BPCL,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,68.7
BPCL,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,71.4
BPCL,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,66.5
BPCL,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,86.1
BPCL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,86.0
BPCL,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,82.3
BPCL,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
BRITANNIA,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
BRITANNIA,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,80.0
BRITANNIA,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,80.6
BRITANNIA,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,91.5
BRITANNIA,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,79.4
BRITANNIA,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,66.6
BRITANNIA,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,71.2
BRITANNIA,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
CANBK,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,70.0
CANBK,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,66.4
CANBK,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,100.0
CANBK,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,100.0
CANBK,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,80.8
CANBK,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,100.0
CANBK,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,70.1
CANBK,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
CHOLAFIN,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,61.0
CHOLAFIN,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,73.9
CHOLAFIN,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
CHOLAFIN,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,65.0
CHOLAFIN,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,81.2
CHOLAFIN,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,74.6
CHOLAFIN,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,62.1
CHOLAFIN,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,100.0
CHOLAFIN,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,95.0
CHOLAFIN,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",100.0
CIPLA,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,85.0
CIPLA,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
CIPLA,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,64.1
CIPLA,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,95.3
CIPLA,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,62.5
CIPLA,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,73.7
CIPLA,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,79.8
CIPLA,Pro,PRO_12,Company is expanding its total asset base while actively reducing overall debt.,88.3
CIPLA,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
COALINDIA,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
COALINDIA,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
COALINDIA,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,100.0
COALINDIA,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,71.2
COALINDIA,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,71.0
COALINDIA,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,63.7
COALINDIA,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,73.5
COALINDIA,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
DABUR,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
DABUR,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
DABUR,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,83.2
DABUR,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,76.5
DABUR,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,64.8
DABUR,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,65.9
DIVISLAB,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,84.8
DIVISLAB,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,90.0
DIVISLAB,Pro,PRO_3,Company is virtually debt-free with a Debt-to-Equity ratio of 0 in the latest year.,95.0
DIVISLAB,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,64.5
DIVISLAB,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
DIVISLAB,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,75.0
DIVISLAB,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,69.4
DIVISLAB,Con,CON_3,Company's Operating Profit Margin has deteriorated for 3 consecutive years.,95.0
DIVISLAB,Con,CON_9,Company's Earnings Per Share (EPS) has declined over 3 consecutive years.,100.0
DLF,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,75.0
DLF,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,72.0
DLF,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,72.5
DLF,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,70.3
DLF,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,72.8
DLF,Con,CON_12,Company has delivered sluggish 5-year revenue growth below 5% CAGR.,100.0
DMART,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,71.0
DMART,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,64.5
DMART,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
DMART,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,75.5
DMART,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,63.7
DMART,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,90.0
DRREDDY,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,75.3
DRREDDY,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
DRREDDY,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,64.5
DRREDDY,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,65.1
DRREDDY,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
DRREDDY,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,77.7
DRREDDY,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,76.1
DRREDDY,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
EICHERMOT,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,95.6
EICHERMOT,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,80.0
EICHERMOT,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,61.5
EICHERMOT,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
EICHERMOT,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,67.5
EICHERMOT,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,80.6
EICHERMOT,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,62.5
EICHERMOT,Con,CON_2,Company has experienced negative Free Cash Flow for 3 consecutive years.,70.0
EICHERMOT,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,65.3
GAIL,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,90.0
GAIL,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,83.6
GAIL,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,68.5
GAIL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,64.8
GAIL,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
GODREJCP,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,86.2
GODREJCP,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,75.0
GODREJCP,Con,CON_4,Company reported a net loss in the latest financial year.,90.0
GODREJCP,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",81.2
GRASIM,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,74.0
GRASIM,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,85.5
GRASIM,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,87.2
GRASIM,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,79.3
GRASIM,Con,CON_9,Company's Earnings Per Share (EPS) has declined over 3 consecutive years.,100.0
GRASIM,Con,CON_10,Company generates low Return on Capital Employed (ROCE below 10%).,62.1
GRASIM,Con,CON_11,"Company maintains high Net Debt to EBITDA ratio (>3.0x), signaling elevated leverage risk.",86.5
HAL,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
HAL,Pro,PRO_5,Company demonstrates robust profitability with Operating Profit Margin exceeding 25%.,70.5
HAL,Pro,PRO_6,Company has delivered exceptional profit growth with a 5-year PAT CAGR above 20%.,69.7
HAL,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
HAL,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,65.5
HAL,Pro,PRO_9,Company has consistently expanded per-share earnings with a 5-year EPS CAGR above 15%.,83.3
HAL,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,86.7
HAL,Con,CON_8,Company's Debt-to-Equity ratio has been steadily increasing over 3 consecutive years.,75.4
HAVELLS,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,90.4
HAVELLS,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,85.0
HAVELLS,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,85.4
HAVELLS,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,72.0
HAVELLS,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,64.5
HAVELLS,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
HCLTECH,Pro,PRO_1,Company has maintained a healthy ROE above 20% over multiple years.,100.0
HCLTECH,Pro,PRO_2,Company has generated positive Free Cash Flow for 5+ consecutive years.,100.0
HCLTECH,Pro,PRO_7,Company possesses strong debt service capacity with Interest Coverage Ratio above 10.,100.0
HCLTECH,Pro,PRO_8,Company offers an attractive dividend yield backed by positive Free Cash Flow.,95.0
HCLTECH,Pro,PRO_10,Company's Return on Equity (ROE) has consistently improved over 3 consecutive years.,66.9
HCLTECH,Pro,PRO_11,Company exhibits operating leverage expansion with steady revenue and profit trajectory.,65.3
HCLTECH,Con,CON_FALLBACK,Valuation multiples and revenue growth trajectory require ongoing monitoring.,65.0
HDFCBANK,Pro,PRO_4,Company has delivered strong revenue growth with a 5-year CAGR above 15%.,73.9
